configuration,model,accuracy,recall,f1,auc
GenAI-Only,RandomForest,0.723404255319149,0.6428571428571429,0.5806451612903226,0.6212121212121212
GenAI-Only,XGBoost,0.6808510638297872,0.7142857142857143,0.5714285714285714,0.6688311688311689
GenAI-Only,LogisticRegression,0.5957446808510638,0.42857142857142855,0.3870967741935484,0.6363636363636364
Baseline-Traditional,XGBoost,0.6595744680851063,0.35714285714285715,0.3846153846153846,0.5735930735930735
Baseline-Minimal,XGBoost,0.5957446808510638,0.35714285714285715,0.3448275862068965,0.5584415584415585
Baseline-Traditional,LogisticRegression,0.5319148936170213,0.2857142857142857,0.26666666666666666,0.4675324675324675
Proposed-GenAI,LogisticRegression,0.5319148936170213,0.2857142857142857,0.26666666666666666,0.46103896103896097
Baseline-Minimal,LogisticRegression,0.5106382978723404,0.2857142857142857,0.2580645161290323,0.4632034632034632
Proposed-GenAI,XGBoost,0.5957446808510638,0.21428571428571427,0.23999999999999996,0.5649350649350648
Baseline-Traditional,RandomForest,0.7021276595744681,0.0,0.0,0.49350649350649356
Baseline-Minimal,RandomForest,0.7021276595744681,0.0,0.0,0.5021645021645023
Proposed-GenAI,RandomForest,0.7021276595744681,0.0,0.0,0.5681818181818181
