configuration,model,accuracy,precision,recall,f1,auc
GenAI-Only,LogisticRegression,0.3404255319148936,0.2926829268292683,0.8571428571428571,0.4363636363636364,0.485930735930736
GenAI-Only,RandomForest,0.3404255319148936,0.2926829268292683,0.8571428571428571,0.4363636363636364,0.5205627705627706
GenAI-Only,XGBoost,0.3404255319148936,0.2926829268292683,0.8571428571428571,0.4363636363636364,0.4285714285714286
Baseline-Traditional,XGBoost,0.6595744680851063,0.4166666666666667,0.35714285714285715,0.3846153846153846,0.5735930735930735
Baseline-Minimal,XGBoost,0.5957446808510638,0.3333333333333333,0.35714285714285715,0.3448275862068965,0.5584415584415585
Proposed-GenAI,LogisticRegression,0.574468085106383,0.3125,0.35714285714285715,0.3333333333333333,0.4956709956709957
Baseline-Traditional,LogisticRegression,0.5319148936170213,0.25,0.2857142857142857,0.26666666666666666,0.4675324675324675
Baseline-Minimal,LogisticRegression,0.5106382978723404,0.23529411764705882,0.2857142857142857,0.2580645161290323,0.4632034632034632
Proposed-GenAI,XGBoost,0.6170212765957447,0.25,0.14285714285714285,0.18181818181818182,0.5303030303030303
Baseline-Traditional,RandomForest,0.7021276595744681,0.0,0.0,0.0,0.49350649350649356
Baseline-Minimal,RandomForest,0.7021276595744681,0.0,0.0,0.0,0.5021645021645023
Proposed-GenAI,RandomForest,0.7021276595744681,0.0,0.0,0.0,0.5422077922077922
